total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
2078,1871.06,15.3263,0.191801,1206.69,6.78837
2079,1871.78,15.347,0.192208,1206.99,6.80833
2080,1872.5,15.3675,0.19337,1207.29,6.85209
2081,1873.2,15.3893,0.195356,1207.63,6.92341
2082,1873.91,15.4109,0.197962,1207.98,7.01374
2083,1874.63,15.4322,0.20106,1208.34,7.1189
2084,1875.34,15.4532,0.204539,1208.71,7.23527
2085,1876.06,15.4738,0.208302,1209.08,7.35979
2086,1876.79,15.494,0.212272,1209.48,7.49004
2087,1877.52,15.5137,0.216389,1209.88,7.62426
2088,1878.26,15.533,0.220617,1210.3,7.7616
2089,1879.01,15.5518,0.224951,1210.74,7.90234
2090,1879.76,15.5702,0.229425,1211.19,8.04835
2091,1880.52,15.588,0.234134,1211.66,8.20375
2092,1881.29,15.6052,0.239252,1212.14,8.37583
2093,1882.07,15.6218,0.24507,1212.65,8.57632
2094,1882.85,15.6377,0.252036,1213.18,8.82296
2095,1883.65,15.6525,0.260808,1213.75,9.14137
2096,1884.47,15.6661,0.272305,1214.36,9.56674
2097,1885.31,15.6779,0.28774,1215.03,10.1447
2098,1886.18,15.6871,0.308612,1215.8,10.9303
2099,1887.11,15.6926,0.336615,1216.7,11.9845
2100,1888.11,15.6928,0.373452,1217.78,13.3665
2101,1889.21,15.6854,0.420527,1219.15,15.1236
2102,1890.45,15.6672,0.478532,1220.91,17.2762
2103,1891.9,15.6343,0.546887,1223.2,19.7987
2104,1893.6,15.5822,0.623051,1226.18,22.5948
2105,1895.62,15.5066,0.701848,1230.01,25.4734
2106,1897.99,15.4053,0.775194,1234.77,28.1393
2107,1900.69,15.2794,0.832904,1240.41,30.2233
2108,1903.63,15.1354,0.865011,1246.68,31.3666
2109,1906.67,14.9848,0.865088,1253.18,31.3411
2110,1909.61,14.8408,0.832812,1259.41,30.1416
2111,1912.31,14.715,0.774008,1264.97,27.985
2112,1914.67,14.614,0.698164,1269.61,25.2192
2113,1916.68,14.5393,0.615143,1273.29,22.2032
2114,1918.36,14.4888,0.532865,1276.09,19.2237
2115,1919.78,14.4582,0.456494,1278.16,16.4665
2116,1920.98,14.4432,0.38872,1279.66,14.0274
2117,1922.03,14.4397,0.330451,1280.75,11.9374
2118,1922.96,14.4446,0.281499,1281.54,10.1881
2119,1923.82,14.4553,0.241101,1282.11,8.75039
2120,1924.62,14.4701,0.208243,1282.53,7.58626
2121,1925.36,14.4893,0.179536,1282.88,6.5751
2122,1926.07,14.5108,0.157256,1283.14,5.79399
2123,1926.76,14.5338,0.140151,1283.35,5.19644
2124,1927.43,14.5579,0.127117,1283.52,4.74188
2125,1928.1,14.5828,0.117215,1283.66,4.39625
2126,1928.75,14.6081,0.109676,1283.78,4.13195
2127,1929.41,14.6338,0.103889,1283.89,3.9275
2128,1930.05,14.6598,0.099386,1283.98,3.76669
2129,1930.7,14.686,0.0958201,1284.07,3.63765
2130,1931.35,14.7124,0.0929406,1284.16,3.53193
2131,1931.99,14.7388,0.0905699,1284.24,3.44358
2132,1932.63,14.7654,0.088585,1284.31,3.36854
2133,1933.27,14.7921,0.0869024,1284.38,3.30406
2134,1933.91,14.8188,0.0854673,1284.45,3.24836
2135,1934.55,14.8455,0.0842454,1284.52,3.20038
2136,1935.19,14.8724,0.0832181,1284.59,3.15955
2137,1935.82,14.8992,0.0823786,1284.65,3.12574
2138,1936.46,14.9261,0.0817304,1284.71,3.09916
2139,1937.1,14.953,0.081286,1284.77,3.08034
2140,1937.73,14.9799,0.0810669,1284.84,3.07018
2141,1938.37,15.0068,0.0811045,1284.9,3.06989
2142,1939.01,15.0337,0.0814403,1284.96,3.08111
