total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
260,259.738,0.0194175,6.39776e-08,0.32156,0.555031
261,260.738,0.0194161,6.35602e-08,0.32156,0.555031
262,261.738,0.0194148,9.35362e-08,0.321562,0.555031
263,262.738,0.0194134,9.35339e-08,0.321562,0.555031
264,263.738,0.019412,6.39759e-08,0.32156,0.555031
265,264.738,0.0194106,6.39772e-08,0.32156,0.555031
266,265.738,0.0194093,9.35348e-08,0.321562,0.555031
267,266.738,0.0194079,9.35223e-08,0.321562,0.555031
268,267.738,0.0194065,6.39785e-08,0.32156,0.555031
269,268.738,0.0194051,6.355e-08,0.32156,0.555031
270,269.738,0.0194038,9.35336e-08,0.321562,0.555031
271,270.738,0.0194024,9.21286e-08,0.321562,0.555031
272,271.738,0.019401,6.39768e-08,0.32156,0.555031
273,272.738,0.0193996,5.46408e-08,0.32156,0.55503
274,273.738,0.0193983,9.35342e-08,0.321562,0.555031
275,274.738,0.0193969,6.39789e-08,0.32156,0.555031
276,275.738,0.0193955,6.39772e-08,0.32156,0.555031
277,276.738,0.0193942,9.35362e-08,0.321562,0.555031
278,277.738,0.0193928,9.35229e-08,0.321562,0.555031
279,278.738,0.0193914,6.39806e-08,0.32156,0.555031
280,279.738,0.0193901,1.01119e-07,0.321562,0.555032
281,280.738,0.0193887,9.35348e-08,0.321562,0.555031
282,281.738,0.0193873,6.39793e-08,0.32156,0.555031
283,282.738,0.0193859,6.35606e-08,0.32156,0.555031
284,283.738,0.0193846,9.35348e-08,0.321562,0.555031
285,284.738,0.0193832,6.39789e-08,0.32156,0.555031
286,285.738,0.0193818,6.35581e-08,0.32156,0.555031
287,286.738,0.0193805,9.35362e-08,0.321562,0.555031
288,287.738,0.0193791,6.39789e-08,0.32156,0.555031
289,288.738,0.0193777,6.35602e-08,0.32156,0.555031
290,289.738,0.0193764,9.35348e-08,0.321562,0.555031
291,290.738,0.019375,6.39797e-08,0.32156,0.555031
292,291.738,0.0193736,6.35602e-08,0.32156,0.555031
293,292.738,0.0193723,9.35351e-08,0.321562,0.555031
294,293.738,0.0193709,6.39789e-08,0.32156,0.555031
295,294.738,0.0193695,6.35602e-08,0.32156,0.555031
