# zMean	zSD	jMean	jSD	FMean	FSD	TotSteps
7.569747798680149344e+02	2.382929492461303589e+00	3.677637935540766279e+01	5.013967961108141935e+01	1.382336380297481426e+01	1.764797582116841568e-01	7.000000000000000000e+01
7.596568401556276058e+02	1.083454579572037613e+00	3.923437282228299949e+01	2.286970613981657152e+01	1.399503041807422221e+01	8.024064616310511155e-02	7.100000000000000000e+01
7.613952309309570410e+02	6.907328178923806128e-01	4.051745064104092364e+01	1.463666797271139330e+01	1.423658519725332106e+01	5.115567249310970510e-02	7.200000000000000000e+01
7.628790246043186016e+02	6.282573780701721233e-01	4.149535170419157737e+01	1.328248935725764568e+01	1.449699543780416455e+01	4.652874141987695111e-02	6.700000000000000000e+01
7.643923400442424736e+02	7.459348680590337510e-01	4.251551762231405007e+01	1.572548410958120257e+01	1.475521929632339813e+01	5.524393632845203683e-02	7.000000000000000000e+01
7.661772444369343020e+02	1.106023882794217483e+00	4.388045800978103728e+01	2.322620645940128270e+01	1.499332927700064388e+01	8.191212875973974405e-02	6.900000000000000000e+01
7.686099764360687914e+02	1.845014942050789974e+00	4.605880662123377078e+01	3.852463560586784297e+01	1.518346114514474721e+01	1.366418066082815130e-01	6.900000000000000000e+01
7.721705881841089649e+02	2.886999149915298712e+00	4.961586918774523980e+01	6.003099424256652128e+01	1.529006223908489126e+01	2.138111570427270181e-01	6.700000000000000000e+01
7.769152778165449718e+02	3.659576985956283668e+00	5.462432044297149503e+01	7.616253560000996004e+01	1.530897052490667498e+01	2.710282715799223752e-01	7.600000000000000000e+01
7.822343078171554680e+02	3.800522965041224221e+00	6.032908289759924259e+01	7.964778846417766545e+01	1.528534316306146756e+01	2.814667307909530791e-01	7.800000000000000000e+01
7.874257446230517417e+02	3.415991206299064942e+00	6.586478237179025541e+01	7.197951654100870655e+01	1.527116535321678370e+01	2.529883087385087492e-01	7.900000000000000000e+01
7.918834016396230027e+02	2.618422772548495647e+00	7.046643963628294216e+01	5.526810579491757380e+01	1.531133127456951826e+01	1.939203905349415891e-01	8.200000000000000000e+01
7.954609656591321709e+02	2.095046044518141137e+00	7.396166385342166905e+01	4.471102548048020253e+01	1.541667688328466568e+01	1.551591100570135495e-01	8.100000000000000000e+01
7.989642038012807461e+02	2.555676327722653962e+00	7.738241081370057373e+01	5.539796888322325685e+01	1.552752706647714298e+01	1.892733888311397550e-01	7.900000000000000000e+01
8.035791406997976765e+02	3.701487156461966688e+00	8.221342226504050643e+01	8.027408606617245823e+01	1.555604483977298003e+01	2.741321388075732557e-01	8.400000000000000000e+01
8.090641375923486294e+02	3.642068209941344836e+00	8.810460378418082428e+01	7.858283361278790835e+01	1.552012596991065685e+01	2.697315716282560061e-01	8.500000000000000000e+01
8.136386186608899607e+02	2.497571792075978792e+00	9.281568366239271484e+01	5.405047419354195881e+01	1.555163990197448420e+01	1.849701669211469834e-01	8.400000000000000000e+01
8.171319495652733167e+02	1.999390718747388718e+00	9.616217632013928096e+01	4.381009216913298587e+01	1.566322381519585782e+01	1.480748766304316177e-01	8.100000000000000000e+01
8.205420898681971948e+02	2.309820646287255919e+00	9.941581775118339692e+01	5.111931782951069181e+01	1.578096882436131310e+01	1.710653170640341614e-01	7.800000000000000000e+01
8.247868838006747865e+02	3.411477436516984429e+00	1.037497950258901511e+02	7.641435147504307679e+01	1.583689938572202216e+01	2.526540189484478560e-01	7.900000000000000000e+01
8.309207890008950699e+02	5.170998778894142944e+00	1.105147021968709709e+02	1.167797990775252401e+02	1.575292236659370992e+01	3.829641695649002031e-01	7.800000000000000000e+01
8.381926225978677394e+02	4.653382866888775560e+00	1.187100185458344015e+02	1.047357582531276421e+02	1.558467037040191450e+01	3.446295351217827374e-01	8.900000000000000000e+01
8.433026917276511085e+02	2.234305455492550774e+00	1.240634124798462921e+02	4.997409958338721481e+01	1.557651865065015251e+01	1.654726620337783061e-01	7.700000000000000000e+01
8.460559991516455511e+02	9.231812205308509434e-01	1.263597979914529645e+02	2.061890413574474223e+01	1.574290870282912636e+01	6.837080119251481847e-02	7.500000000000000000e+01
8.478359099440177715e+02	5.290964473234670562e-01	1.274222885350995682e+02	1.190357539861543046e+01	1.598138850954604351e+01	3.918488288877597370e-02	7.500000000000000000e+01
8.494054792863319108e+02	5.617196878462576981e-01	1.282307796336894796e+02	1.277119764534290880e+01	1.623544620405425931e+01	4.160096008189384520e-02	7.200000000000000000e+01
8.519224696730979076e+02	2.948799746469805250e+00	1.303410973755098894e+02	7.250462081372097600e+01	1.641933789601036509e+01	2.183881092235537835e-01	1.100000000000000000e+02
8.678614522199022758e+02	2.661355343173004329e+01	1.507384486912948773e+02	6.712189179668312136e+02	1.560919684859403844e+01	1.970999767153926996e+00	1.100000000000000000e+02
8.929977913356988211e+02	6.817440815316445857e+00	1.835119856533819984e+02	1.763149784765628283e+02	1.411789957367814807e+01	5.048996667823359985e-01	1.150000000000000000e+02
8.978097972558996389e+02	1.319157353365447927e+00	1.884296482823903034e+02	3.708975352429843042e+01	1.413182241522806848e+01	9.769679359024507903e-02	9.900000000000000000e+01
9.004172092699988070e+02	8.840071742309872915e-01	1.903142692802312865e+02	2.512235861952649429e+01	1.430901748146388819e+01	6.546957132354691566e-02	5.700000000000000000e+01
9.026926813108658507e+02	7.340520837024985257e-01	1.917331560132163872e+02	2.052564618233009242e+01	1.451079602211727249e+01	5.436389731900703737e-02	5.800000000000000000e+01
9.047831297867772946e+02	6.128516986463405924e-01	1.928993481157356200e+02	1.689626618908368982e+01	1.472627740799127238e+01	4.538779680174798159e-02	5.800000000000000000e+01
